SampleID,Layer,Component,Quantity,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4025,33.4,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4111,32.6,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4517,12.9,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4510,4.8,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4640,2.8,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4014,2.1,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4560,1.5,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4519,0.4,,,,,,,,,
CHRYSLER EBG (S1),1,BC 4110,6,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4002,3,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4080,22.7,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4202,20.7,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4050,18.8,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4117,7.8,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4966,7.8,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4047,5.2,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4517,5,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4510,3.5,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4030,1.2,,,,,,,,,
CHRYSLER EGJ (S3),1,BC 4110,4.3,,,,,,,,,
TOYOTA 44J (S1),1,BC 4002,3.9,,,,,,,,,
TOYOTA 44J (S1),1,BC 4640,38.5,,,,,,,,,
TOYOTA 44J (S1),1,XB 4704,18.4,,,,,,,,,
TOYOTA 44J (S1),1,BC 4117,13.5,,,,,,,,,
TOYOTA 44J (S1),1,BC 4510,12.2,,,,,,,,,
TOYOTA 44J (S1),1,BC 4517,4.5,,,,,,,,,
TOYOTA 44J (S1),1,BC 4047,3.9,,,,,,,,,
TOYOTA 44J (S1),1,BC 4030,3.1,,,,,,,,,
TOYOTA 44J (S1),1,BC 4440,2,,,,,,,,,
TOYOTA 44J (S2),1,BC 4002,4.8,,,,,,,,,
TOYOTA 44J (S2),1,BC 4640,37.4,,,,,,,,,
TOYOTA 44J (S2),1,XB 4704,19.5,,,,,,,,,
TOYOTA 44J (S2),1,BC 4517,17.7,,,,,,,,,
TOYOTA 44J (S2),1,BC 4010,11.1,,,,,,,,,
TOYOTA 44J (S2),1,BC 4030,3.4,,,,,,,,,
TOYOTA 44J (S2),1,BC 4934,0.9,,,,,,,,,
TOYOTA 44J (S2),1,BC 4985,0.9,,,,,,,,,
TOYOTA 44J (S2),1,BC 4047,0.8,,,,,,,,,
TOYOTA 44J (S2),1,BC 4110,3.5,,,,,,,,,
TOYOTA 44J (S3),1,BC 4002,4.2,,,,,,,,,
TOYOTA 44J (S3),1,BC 4640,40.5,,,,,,,,,
TOYOTA 44J (S3),1,XB 4704,19.2,,,,,,,,,
TOYOTA 44J (S3),1,BC 4117,14.2,,,,,,,,,
TOYOTA 44J (S3),1,BC 4510,6.1,,,,,,,,,
TOYOTA 44J (S3),1,BC 4517,4.7,,,,,,,,,
TOYOTA 44J (S3),1,BC 4030,4.7,,,,,,,,,
TOYOTA 44J (S3),1,BC 4047,4.1,,,,,,,,,
TOYOTA 44J (S3),1,BC 4440,2.3,,,,,,,,,
TOYOTA 3T2 (S2),1,BC 4002,2.6,,,,,,,,,
TOYOTA 3T2 (S2),1,BC 4681,85.8,,,,,,,,,
TOYOTA 3T2 (S2),1,BC 4188,11,,,,,,,,,
TOYOTA 3T2 (S2),1,BC 4019,0.6,,,,,,,,,
TOYOTA 3T2 (S3),1,BC 4002,2,,,,,,,,,
TOYOTA 3T2 (S3),1,BC 4681,87.2,,,,,,,,,
TOYOTA 3T2 (S3),1,BC 4188,8.4,,,,,,,,,
TOYOTA 3T2 (S3),1,BC 4074,2.4,,,,,,,,,
TOYOTA 1J4 (S2),1,BC 4002,4.9,,,,,,,,,
TOYOTA 1J4 (S2),1,BC 4117,68,,,,,,,,,
TOYOTA 1J4 (S2),1,BC 4517,17,,,,,,,,,
TOYOTA 1J4 (S2),1,BC 4960,5.7,,,,,,,,,
TOYOTA 1J4 (S2),1,BC 4510,1.9,,,,,,,,,
TOYOTA 1J4 (S2),1,BC 4047,0.2,,,,,,,,,
TOYOTA 1J4 (S2),1,BC 4110,2.3,,,,,,,,,
TOYOTA 1J4 (S3),1,BC 4002,5.1,,,,,,,,,
TOYOTA 1J4 (S3),1,BC 4117,58.3,,,,,,,,,
TOYOTA 1J4 (S3),1,BC 4014,15.9,,,,,,,,,
TOYOTA 1J4 (S3),1,BC 4517,14.6,,,,,,,,,
TOYOTA 1J4 (S3),1,BC 4019,1.5,,,,,,,,,
TOYOTA 1J4 (S3),1,BC 4110,4.6,,,,,,,,,
TOYOTA 4Y3 (S1),1,BC 4002,4.8,,,,,,,,,
TOYOTA 4Y3 (S1),1,BC 4117,32.1,,,,,,,,,
TOYOTA 4Y3 (S1),1,BC 4014,18,,,,,,,,,
TOYOTA 4Y3 (S1),1,BC 4019,15.2,,,,,,,,,
TOYOTA 4Y3 (S1),1,BC 4973,14.7,,,,,,,,,
TOYOTA 4Y3 (S1),1,BC 4519,6.3,,,,,,,,,
TOYOTA 4Y3 (S1),1,BC 4560,5.9,,,,,,,,,
TOYOTA 4Y3 (S1),1,BC 4110,3,,,,,,,,,
TOYOTA 5B1 (S1),1,BC 4002,2.6,,,,,,,,,
TOYOTA 5B1 (S1),1,BC 4117,46.1,,,,,,,,,
TOYOTA 5B1 (S1),1,BC 4162,27.5,,,,,,,,,
TOYOTA 5B1 (S1),1,BC 4061,15.4,,,,,,,,,
TOYOTA 5B1 (S1),1,BC 4063,3.5,,,,,,,,,
TOYOTA 5B1 (S1),1,BC 4519,2.5,,,,,,,,,
TOYOTA 5B1 (S1),1,BC 4019,1.3,,,,,,,,,
TOYOTA 5B1 (S1),1,BC 4082,1.1,,,,,,,,,
TOYOTA 8X2 (S1),1,BC 4002,5.7,,,,,,,,,
TOYOTA 8X2 (S1),1,BC 4811,41.4,,,,,,,,,
TOYOTA 8X2 (S1),1,BC 4640,33.4,,,,,,,,,
TOYOTA 8X2 (S1),1,BC 4030,7.1,,,,,,,,,
TOYOTA 8X2 (S1),1,BC 4934,2.1,,,,,,,,,
TOYOTA 8X2 (S1),1,BC 4117,1.9,,,,,,,,,
TOYOTA 8X2 (S1),1,BC 4517,0.9,,,,,,,,,
TOYOTA 8X2 (S1),1,BC 4110,7.5,,,,,,,,,
TOYOTA 8X2 (S2),1,BC 4002,4.9,,,,,,,,,
TOYOTA 8X2 (S2),1,BC 4811,36.6,,,,,,,,,
TOYOTA 8X2 (S2),1,BC 4640,36.2,,,,,,,,,
TOYOTA 8X2 (S2),1,BC 4030,13.2,,,,,,,,,
TOYOTA 8X2 (S2),1,BC 4117,4.7,,,,,,,,,
TOYOTA 8X2 (S2),1,BC 4014,2.1,,,,,,,,,
TOYOTA 8X2 (S2),1,BC 4110,2.3,,,,,,,,,
TOYOTA G57 (S1),1,BC 4002,3.9,,,,,,,,,
TOYOTA G57 (S1),1,BC 4061,36.8,,,,,,,,,
TOYOTA G57 (S1),1,BC 4014,24.8,,,,,,,,,
TOYOTA G57 (S1),1,BC 4117,18.6,,,,,,,,,
TOYOTA G57 (S1),1,BC 4051,8.8,,,,,,,,,
TOYOTA G57 (S1),1,BC 4519,4.1,,,,,,,,,
TOYOTA G57 (S1),1,BC 4080,0.2,,,,,,,,,
TOYOTA G57 (S1),1,BC 4110,2.8,,,,,,,,,
TOYOTA 5B5 (S1),1,BC 4002,4.7,,,,,,,,,
TOYOTA 5B5 (S1),1,BC 4561,46.9,,,,,,,,,
TOYOTA 5B5 (S1),1,BC 4019,40.8,,,,,,,,,
TOYOTA 5B5 (S1),1,BC 4920,4.9,,,,,,,,,
TOYOTA 5B5 (S1),1,BC 4162,2.3,,,,,,,,,
TOYOTA 5B5 (S1),1,BC 4074,0.4,,,,,,,,,
TOYOTA B21 (S1),1,BC 4002,12.2,,,,,,,,,
TOYOTA B21 (S1),1,BC 4162,56.1,,,,,,,,,
TOYOTA B21 (S1),1,BC 4561,13.1,,,,,,,,,
TOYOTA B21 (S1),1,BC 4019,11.7,,,,,,,,,
TOYOTA B21 (S1),1,BC 4560,6.9,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4002,5.3,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4050,22.8,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4117,21.6,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4061,12,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4025,5.7,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4014,4.8,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4519,3.1,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4561,0.7,,,,,,,,,
TOYOTA 6W8 (S1),1,BC 4110,24,,,,,,,,,
NISSAN TV1 (S1),1,BC 4002,5.9,,,,,,,,,
NISSAN TV1 (S1),1,BC 4117,47.8,,,,,,,,,
NISSAN TV1 (S1),1,BC 4519,28.7,,,,,,,,,
NISSAN TV1 (S1),1,BC 4920,13.1,,,,,,,,,
NISSAN TV1 (S1),1,BC 4041,3.4,,,,,,,,,
NISSAN TV1 (S1),1,BC 4050,1.1,,,,,,,,,
NISSAN TV1 (S2),1,BC 4002,6.5,,,,,,,,,
NISSAN TV1 (S2),1,BC 4117,59.9,,,,,,,,,
NISSAN TV1 (S2),1,BC 4519,17.4,,,,,,,,,
NISSAN TV1 (S2),1,BC 4510,12.9,,,,,,,,,
NISSAN TV1 (S2),1,BC 4041,2.2,,,,,,,,,
NISSAN TV1 (S2),1,BC 4050,1.1,,,,,,,,,
NISSAN TV2 (S1),1,BC 4002,3.5,,,,,,,,,
NISSAN TV2 (S1),1,BC 4041,46.3,,,,,,,,,
NISSAN TV2 (S1),1,BC 4440,23.1,,,,,,,,,
NISSAN TV2 (S1),1,BC 4811,13.3,,,,,,,,,
NISSAN TV2 (S1),1,BC 4030,4.3,,,,,,,,,
NISSAN TV2 (S1),1,BC 4117,3.9,,,,,,,,,
NISSAN TV2 (S1),1,BC 4014,1.9,,,,,,,,,
NISSAN TV2 (S1),1,BC 4283,0.7,,,,,,,,,
NISSAN TV2 (S1),1,BC 4110,3,,,,,,,,,
NISSAN TV3 (S1),1,BC 4002,6.7,,,,,,,,,
NISSAN TV3 (S1),1,BC 4640,45.2,,,,,,,,,
NISSAN TV3 (S1),1,BC 4811,21.2,,,,,,,,,
NISSAN TV3 (S1),1,BC 4084,15.2,,,,,,,,,
NISSAN TV3 (S1),1,BC 4041,4.2,,,,,,,,,
NISSAN TV3 (S1),1,BC 4519,4.2,,,,,,,,,
NISSAN TV3 (S1),1,BC 4440,2.1,,,,,,,,,
NISSAN TV3 (S1),1,BC 4017,1.2,,,,,,,,,
NISSAN AW5 (S1),1,BC 4002,5.6,,,,,,,,,
NISSAN AW5 (S1),1,BC 4061,21,,,,,,,,,
NISSAN AW5 (S1),1,BC 4580,20,,,,,,,,,
NISSAN AW5 (S1),1,BC 4117,16.6,,,,,,,,,
NISSAN AW5 (S1),1,BC 4162,9.7,,,,,,,,,
NISSAN AW5 (S1),1,BC 4510,9.5,,,,,,,,,
NISSAN AW5 (S1),1,BC 4681,8.2,,,,,,,,,
NISSAN AW5 (S1),1,BC 4080,6.4,,,,,,,,,
NISSAN AW5 (S1),1,BC 4025,1,,,,,,,,,
NISSAN AW5 (S1),1,BC 4110,2,,,,,,,,,
NISSAN AW6 (S1),1,BC 4002,4.8,,,,,,,,,
NISSAN AW6 (S1),1,BC 4074,42.8,,,,,,,,,
NISSAN AW6 (S1),1,BC 4582,21,,,,,,,,,
NISSAN AW6 (S1),1,BC 4017,19.8,,,,,,,,,
NISSAN AW6 (S1),1,BC 4111,4.6,,,,,,,,,
NISSAN AW6 (S1),1,BC 4283,3.5,,,,,,,,,
NISSAN AW6 (S1),1,BC 4110,3.5,,,,,,,,,
NISSAN B51 (S2),1,BC 4002,5.3,,,,,,,,,
NISSAN B51 (S2),1,BC 4811,29.2,,,,,,,,,
NISSAN B51 (S2),1,BC 4041,21.9,,,,,,,,,
NISSAN B51 (S2),1,BC 4640,12.4,,,,,,,,,
NISSAN B51 (S2),1,BC 4440,10.9,,,,,,,,,
NISSAN B51 (S2),1,BC 4010,5.9,,,,,,,,,
NISSAN B51 (S2),1,BC 4934,3.4,,,,,,,,,
NISSAN B51 (S2),1,BC 4014,3.2,,,,,,,,,
NISSAN B51 (S2),1,BC 4030,0.2,,,,,,,,,
NISSAN B51 (S2),1,BC 4110,7.6,,,,,,,,,
NISSAN QV3 (S1),1,BC 4002,2.7,,,,,,,,,
NISSAN QV3 (S1),1,BC 4019,78.4,,,,,,,,,
NISSAN QV3 (S1),1,BC 4920,11.1,,,,,,,,,
NISSAN QV3 (S1),1,BC 4940,5.5,,,,,,,,,
NISSAN QV3 (S1),1,BC 4560,1.3,,,,,,,,,
NISSAN QV3 (S1),1,BC 4980,1,,,,,,,,,
NISSAN QV3 (S1),2,BC 4002,6.7,,,,,,,,,
NISSAN QV3 (S1),2,BC 4010,46.8,,,,,,,,,
NISSAN QV3 (S1),2,BC 4526,17.6,,,,,,,,,
NISSAN QV3 (S1),2,BC 4111,16.6,,,,,,,,,
NISSAN QV3 (S1),2,BC 4110,12.3,,,,,,,,,
NISSAN QX1 (S1),1,BC 4002,4.6,,,,,,,,,
NISSAN QX1 (S1),1,BC 4019,80.8,,,,,,,,,
NISSAN QX1 (S1),1,BC 4920,11.5,,,,,,,,,
NISSAN QX1 (S1),1,BC 4560,2,,,,,,,,,
NISSAN QX1 (S1),1,BC 4941,1.1,,,,,,,,,
NISSAN QX1 (S1),2,BC 4002,7.3,,,,,,,,,
NISSAN QX1 (S1),2,BC 4010,61.6,,,,,,,,,
NISSAN QX1 (S1),2,XB 4091,26,,,,,,,,,
NISSAN QX1 (S1),2,BC 4110,5.1,,,,,,,,,
NISSAN QM1 (S1),1,BC 4002,4.8,,,,,,,,,
NISSAN QM1 (S1),1,BC 4019,88.6,,,,,,,,,
NISSAN QM1 (S1),1,BC 4960,4.4,,,,,,,,,
NISSAN QM1 (S1),1,BC 4920,2.2,,,,,,,,,
NISSAN QN0 (S1),1,BC 4002,4.3,,,,,,,,,
NISSAN QN0 (S1),1,BC 4019,83.5,,,,,,,,,
NISSAN QN0 (S1),1,BC 4920,12.2,,,,,,,,,
NISSAN QN0 (S1),2,BC 4002,8.1,,,,,,,,,
NISSAN QN0 (S1),2,BC 4010,79,,,,,,,,,
NISSAN QN0 (S1),2,BC 4111,12.9,,,,,,,,,
NISSAN QV1 (S1),1,BC 4002,4.4,,,,,,,,,
NISSAN QV1 (S1),1,BC 4019,77.3,,,,,,,,,
NISSAN QV1 (S1),1,BC 4960,9.6,,,,,,,,,
NISSAN QV1 (S1),1,BC 4920,6.1,,,,,,,,,
NISSAN QV1 (S1),1,BC 4940,2.6,,,,,,,,,
NISSAN A15 (S1),1,BC 4002,4.1,,,,,,,,,
NISSAN A15 (S1),1,BC 4082,33.3,,,,,,,,,
NISSAN A15 (S1),1,BC 4582,31.8,,,,,,,,,
NISSAN A15 (S1),1,BC 4080,8.7,,,,,,,,,
NISSAN A15 (S1),1,BC 4511,8.6,,,,,,,,,
NISSAN A15 (S1),1,XB 4581,5.6,,,,,,,,,
NISSAN A15 (S1),1,BC 4110,7.9,,,,,,,,,
NISSAN B51 (S3),1,BC 4002,5.4,,,,,,,,,
NISSAN B51 (S3),1,BC 4010,23.2,,,,,,,,,
NISSAN B51 (S3),1,BC 4934,16.2,,,,,,,,,
NISSAN B51 (S3),1,BC 4041,14.8,,,,,,,,,
NISSAN B51 (S3),1,BC 4640,11.2,,,,,,,,,
NISSAN B51 (S3),1,BC 4920,9.4,,,,,,,,,
NISSAN B51 (S3),1,BC 4440,7.4,,,,,,,,,
NISSAN B51 (S3),1,BC 4117,3.2,,,,,,,,,
NISSAN B51 (S3),1,BC 4811,2.8,,,,,,,,,
NISSAN B51 (S3),1,BC 4014,2.4,,,,,,,,,
NISSAN B51 (S3),1,BC 4110,4,,,,,,,,,
TOYOTA 8X1 (S1),1,BC 4002,5.5,,,,,,,,,
TOYOTA 8X1 (S1),1,BC 4640,37.3,,,,,,,,,
TOYOTA 8X1 (S1),1,XB 4704,24.9,,,,,,,,,
TOYOTA 8X1 (S1),1,BC 4811,12.4,,,,,,,,,
TOYOTA 8X1 (S1),1,BC 4010,12.4,,,,,,,,,
TOYOTA 8X1 (S1),1,BC 4030,7.5,,,,,,,,,
TOYOTA KJF (S2),1,BC 4002,4.9,,,,,,,,,
TOYOTA KJF (S2),1,BC 4681,54.9,,,,,,,,,
TOYOTA KJF (S2),1,BC 4188,34.6,,,,,,,,,
TOYOTA KJF (S2),1,BC 4580,2.9,,,,,,,,,
TOYOTA KJF (S2),1,BC 4025,2.7,,,,,,,,,
HONDA NH0 (S2),1,BC 4002,4.3,,,,,,,,,
HONDA NH0 (S2),1,BC 4019,90.5,,,,,,,,,
HONDA NH0 (S2),1,BC 4920,2.6,,,,,,,,,
HONDA NH0 (S2),1,BC 4060,1.8,,,,,,,,,
HONDA NH0 (S2),1,BC 4980,0.8,,,,,,,,,
HONDA NH0 (S3),1,BC 4002,3.1,,,,,,,,,
HONDA NH0 (S3),1,BC 4019,89,,,,,,,,,
HONDA NH0 (S3),1,BC 4920,5.9,,,,,,,,,
HONDA NH0 (S3),1,BC 4560,1.7,,,,,,,,,
HONDA NH0 (S3),1,BC 4980,0.3,,,,,,,,,
HONDA GY27M (S2),1,BC 4002,4.3,,,,,,,,,
HONDA GY27M (S2),1,BC 4962,29.1,,,,,,,,,
HONDA GY27M (S2),1,BC 4162,13.6,,,,,,,,,
HONDA GY27M (S2),1,BC 4117,11.7,,,,,,,,,
HONDA GY27M (S2),1,BC 4519,11.7,,,,,,,,,
HONDA GY27M (S2),1,BC 4061,11.1,,,,,,,,,
HONDA GY27M (S2),1,BC 4051,7,,,,,,,,,
HONDA GY27M (S2),1,BC 4517,5.1,,,,,,,,,
HONDA GY27M (S2),1,XB 4705,3.9,,,,,,,,,
HONDA GY27M (S2),1,BC 4110,2.5,,,,,,,,,
HONDA GY27M (S3),1,BC 4002,6.1,,,,,,,,,
HONDA GY27M (S3),1,BC 4117,26.2,,,,,,,,,
HONDA GY27M (S3),1,BC 4061,24.5,,,,,,,,,
HONDA GY27M (S3),1,XB 4705,14.5,,,,,,,,,
HONDA GY27M (S3),1,BC 4051,14.2,,,,,,,,,
HONDA GY27M (S3),1,BC 4519,10.8,,,,,,,,,
HONDA GY27M (S3),1,BC 4162,3.7,,,,,,,,,
HONDA R513 (S3),1,BC 4002,2.3,,,,,,,,,
HONDA R513 (S3),1,BC 4681,82.5,,,,,,,,,
HONDA R513 (S3),1,BC 4283,13.8,,,,,,,,,
HONDA R513 (S3),1,BC 4019,0.8,,,,,,,,,
HONDA R513 (S3),1,BC 4025,0.6,,,,,,,,,
KIA S7Y (S2),1,BC 4002,8.2,,,,,,,,,
KIA S7Y (S2),1,BC 4561,40.9,,,,,,,,,
KIA S7Y (S2),1,BC 4162,33.4,,,,,,,,,
KIA S7Y (S2),1,BC 4019,17.1,,,,,,,,,
KIA S7Y (S2),1,BC 4051,0.4,,,,,,,,,
KIA BNB (S2),1,BC 4002,6.5,,,,,,,,,
KIA BNB (S2),1,BC 4047,35.3,,,,,,,,,
KIA BNB (S2),1,BC 4640,28.8,,,,,,,,,
KIA BNB (S2),1,BC 4811,17.8,,,,,,,,,
KIA BNB (S2),1,BC 4941,5,,,,,,,,,
KIA BNB (S2),1,BC 4117,3,,,,,,,,,
KIA BNB (S2),1,XB 4704,2.7,,,,,,,,,
KIA BNB (S2),1,BC 4110,0.9,,,,,,,,,
KIA N4U (S2),1,BC 4002,6,,,,,,,,,
KIA N4U (S2),1,BC 4640,43.6,,,,,,,,,
KIA N4U (S2),1,BC 4811,22,,,,,,,,,
KIA N4U (S2),1,BC 4047,16.5,,,,,,,,,
KIA N4U (S2),1,BC 4012,2.7,,,,,,,,,
KIA N4U (S2),1,XB 4704,2.4,,,,,,,,,
KIA N4U (S2),1,BC 4117,1.6,,,,,,,,,
KIA N4U (S2),1,BC 4110,5.2,,,,,,,,,
KIA A1 (S1),1,BC 4002,2.9,,,,,,,,,
KIA A1 (S1),1,BC 4019,81.8,,,,,,,,,
KIA A1 (S1),1,BC 4025,6.2,,,,,,,,,
KIA A1 (S1),1,BC 4560,5.3,,,,,,,,,
KIA A1 (S1),1,BC 4940,2.6,,,,,,,,,
KIA A1 (S1),1,BC 4580,1.2,,,,,,,,,
KIA A1 (S2),1,BC 4002,3.8,,,,,,,,,
KIA A1 (S2),1,BC 4019,85.4,,,,,,,,,
KIA A1 (S2),1,BC 4025,4.3,,,,,,,,,
KIA A1 (S2),1,BC 4560,4.2,,,,,,,,,
KIA A1 (S2),1,BC 4580,1.4,,,,,,,,,
KIA A1 (S2),1,BC 4941,0.9,,,,,,,,,
KIA A1 (S3),1,BC 4002,2.8,,,,,,,,,
KIA A1 (S3),1,BC 4019,88,,,,,,,,,
KIA A1 (S3),1,BC 4560,3.9,,,,,,,,,
KIA A1 (S3),1,BC 4025,3.9,,,,,,,,,
KIA A1 (S3),1,BC 4580,0.8,,,,,,,,,
KIA A1 (S3),1,BC 4941,0.6,,,,,,,,,
KIA FD (S1),1,BC 4002,3,,,,,,,,,
KIA FD (S1),1,BC 4681,58.7,,,,,,,,,
KIA FD (S1),1,BC 4074,19.3,,,,,,,,,
KIA FD (S1),1,BC 4283,14.6,,,,,,,,,
KIA FD (S1),1,BC 4025,2.2,,,,,,,,,
KIA FD (S1),1,BC 4019,2.2,,,,,,,,,
NISSAN EAF (S1),1,BC 4002,3.1,,,,,,,,,
NISSAN EAF (S1),1,BC 4082,28.5,,,,,,,,,
NISSAN EAF (S1),1,XB 4581,27.5,,,,,,,,,
NISSAN EAF (S1),1,XB 4107,16.6,,,,,,,,,
NISSAN EAF (S1),1,BC 4010,6.4,,,,,,,,,
NISSAN EAF (S1),1,BC 4084,3.3,,,,,,,,,
NISSAN EAF (S1),1,BC 4510,1.3,,,,,,,,,
NISSAN EAF (S1),1,BC 4110,13.3,,,,,,,,,
BMW B50 (S1),1,BC 4002,3.1,,,,,,,,,
BMW B50 (S1),1,XB 4107,49.7,,,,,,,,,
BMW B50 (S1),1,BC 4283,17.9,,,,,,,,,
BMW B50 (S1),1,BC 4582,8.5,,,,,,,,,
BMW B50 (S1),1,BC 4080,7,,,,,,,,,
BMW B50 (S1),1,BC 4084,3.5,,,,,,,,,
BMW B50 (S1),1,BC 4920,2.8,,,,,,,,,
BMW B50 (S1),1,BC 4974,1.3,,,,,,,,,
BMW B50 (S1),1,BC 4510,0.7,,,,,,,,,
BMW B50 (S1),1,BC 4110,5.5,,,,,,,,,
BMW 421 (S1),1,BC 4002,4.1,,,,,,,,,
BMW 421 (S1),1,BC 4162,32.4,,,,,,,,,
BMW 421 (S1),1,BC 4014,23.5,,,,,,,,,
BMW 421 (S1),1,BC 4117,20.9,,,,,,,,,
BMW 421 (S1),1,BC 4019,7.9,,,,,,,,,
BMW 421 (S1),1,BC 4580,6.6,,,,,,,,,
BMW 421 (S1),1,BC 4561,2.4,,,,,,,,,
BMW 421 (S1),1,BC 4080,1.6,,,,,,,,,
BMW 421 (S1),1,BC 4082,0.6,,,,,,,,,
BMW W02 (S1),1,BC 4002,4.4,,,,,,,,,
BMW W02 (S1),1,BC 4117,21.4,,,,,,,,,
BMW W02 (S1),1,BC 4162,20.4,,,,,,,,,
BMW W02 (S1),1,BC 4510,18.7,,,,,,,,,
BMW W02 (S1),1,BC 4080,12.1,,,,,,,,,
BMW W02 (S1),1,BC 4966,11.3,,,,,,,,,
BMW W02 (S1),1,BC 4010,8.5,,,,,,,,,
BMW W02 (S1),1,BC 4110,3.2,,,,,,,,,
BMW S01 (S1),1,BC 4002,4.1,,,,,,,,,
BMW S01 (S1),1,BC 4517,25.3,,,,,,,,,
BMW S01 (S1),1,BC 4017,23.9,,,,,,,,,
BMW S01 (S1),1,BC 4963,19.6,,,,,,,,,
BMW S01 (S1),1,BC 4010,10.7,,,,,,,,,
BMW S01 (S1),1,BC 4060,6.3,,,,,,,,,
BMW S01 (S1),1,BC 4519,4.3,,,,,,,,,
BMW S01 (S1),1,BC 4080,3.8,,,,,,,,,
BMW S01 (S1),1,BC 4025,2,,,,,,,,,
BMW U57 (S1),1,BC 4002,4.6,,,,,,,,,
BMW U57 (S1),1,BC 4117,50.8,,,,,,,,,
BMW U57 (S1),1,BC 4080,11,,,,,,,,,
BMW U57 (S1),1,BC 4061,9.4,,,,,,,,,
BMW U57 (S1),1,BC 4681,5,,,,,,,,,
BMW U57 (S1),1,BC 4560,4.8,,,,,,,,,
BMW U57 (S1),1,BC 4920,3.8,,,,,,,,,
BMW U57 (S1),1,BC 4519,3.6,,,,,,,,,
BMW U57 (S1),1,BC 4110,7,,,,,,,,,
AUDI LY7W (S1),1,BC 4002,5.5,,,,,,,,,
AUDI LY7W (S1),1,BC 4117,74.9,,,,,,,,,
AUDI LY7W (S1),1,BC 4517,11.2,,,,,,,,,
AUDI LY7W (S1),1,BC 4025,2.2,,,,,,,,,
AUDI LY7W (S1),1,BC 4510,2,,,,,,,,,
AUDI LY7W (S1),1,BC 4519,0.5,,,,,,,,,
AUDI LY7W (S1),1,BC 4110,3.7,,,,,,,,,
AUDI LA3H (S1),1,BC 4002,2.3,,,,,,,,,
AUDI LA3H (S1),1,BC 4681,60.3,,,,,,,,,
AUDI LA3H (S1),1,BC 4084,15.9,,,,,,,,,
AUDI LA3H (S1),1,BC 4283,15.7,,,,,,,,,
AUDI LA3H (S1),1,BC 4188,5.8,,,,,,,,,
AUDI LK7W (S1),1,BC 4002,5.4,,,,,,,,,
AUDI LK7W (S1),1,BC 4014,37.2,,,,,,,,,
AUDI LK7W (S1),1,BC 4117,31,,,,,,,,,
AUDI LK7W (S1),1,BC 4517,12.4,,,,,,,,,
AUDI LK7W (S1),1,BC 4510,2.7,,,,,,,,,
AUDI LK7W (S1),1,BC 4920,1,,,,,,,,,
AUDI LK7W (S1),1,BC 4047,1,,,,,,,,,
AUDI LK7W (S1),1,BC 4050,0.6,,,,,,,,,
AUDI LK7W (S1),1,BC 4110,8.7,,,,,,,,,
AUDI LA5W (S1),1,BC 4002,3.5,,,,,,,,,
AUDI LA5W (S1),1,BC 4640,49,,,,,,,,,
AUDI LA5W (S1),1,BC 4811,12.5,,,,,,,,,
AUDI LA5W (S1),1,BC 4030,10.6,,,,,,,,,
AUDI LA5W (S1),1,BC 4047,9,,,,,,,,,
AUDI LA5W (S1),1,BC 4017,7.4,,,,,,,,,
AUDI LA5W (S1),1,BC 4920,3.5,,,,,,,,,
AUDI LA5W (S1),1,BC 4014,2.7,,,,,,,,,
AUDI LA5W (S1),1,BC 4517,1.8,,,,,,,,,
AUDI LC2U (S1),1,BC 4002,4.5,,,,,,,,,
AUDI LC2U (S1),1,BC 4025,36.8,,,,,,,,,
AUDI LC2U (S1),1,BC 4082,32,,,,,,,,,
AUDI LC2U (S1),1,BC 4974,14.7,,,,,,,,,
AUDI LC2U (S1),1,BC 4080,8.6,,,,,,,,,
AUDI LC2U (S1),1,BC 4580,3,,,,,,,,,
AUDI LC2U (S1),1,BC 4111,0.4,,,,,,,,,
HONDA R513 (S2),1,BC 4002,2.3,,,,,,,,,
HONDA R513 (S2),1,BC 4681,81.6,,,,,,,,,
HONDA R513 (S2),1,BC 4283,14,,,,,,,,,
HONDA R513 (S2),1,BC 4920,2.1,,,,,,,,,
