SampleID,Layer,Component,Quantity,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4084,0.9,,,,,,,,,
TOYOTA 4R3 (S1),1,BC 4110,1.9,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4002,3.4,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4014,26.2,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4117,25.3,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4517,19.5,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4510,7.5,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4041,1.5,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4030,0.9,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4202,0.6,,,,,,,,,
TOYOTA 1A0 (S2),1,BC 4110,15,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4002,4.4,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4018,34.3,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4117,30.5,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4025,8.4,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4517,7.6,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4026,3.5,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4510,3.2,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4080,1.6,,,,,,,,,
TOYOTA 1C5 (S1),1,BC 4110,6.5,,,,,,,,,
TOYOTA 071 (S1),1,BC 4002,3.5,,,,,,,,,
TOYOTA 071 (S1),1,BC 4019,75.6,,,,,,,,,
TOYOTA 071 (S1),1,BC 4960,16.7,,,,,,,,,
TOYOTA 071 (S1),1,BC 4980,3.2,,,,,,,,,
TOYOTA 071 (S1),1,BC 4202,1,,,,,,,,,
TOYOTA 071 (S1),2,BC 4002,8.5,,,,,,,,,
TOYOTA 071 (S1),2,BC 4010,60.6,,,,,,,,,
TOYOTA 071 (S1),2,BC 4111,28.9,,,,,,,,,
TOYOTA 071 (S1),2,BC 4960,0.8,,,,,,,,,
TOYOTA 071 (S1),2,BC 4920,0.8,,,,,,,,,
TOYOTA 071 (S1),2,BC 4980,0.4,,,,,,,,,
TOYOTA 057 (S1),1,BC 4002,4.1,,,,,,,,,
TOYOTA 057 (S1),1,BC 4019,91.9,,,,,,,,,
TOYOTA 057 (S1),1,BC 4560,3.3,,,,,,,,,
TOYOTA 057 (S1),1,BC 4202,0.7,,,,,,,,,
TOYOTA 057 (S1),2,BC 4002,5.9,,,,,,,,,
TOYOTA 057 (S1),2,BC 4010,45.6,,,,,,,,,
TOYOTA 057 (S1),2,BC 4526,41.5,,,,,,,,,
TOYOTA 057 (S1),2,BC 4910,3.6,,,,,,,,,
TOYOTA 057 (S1),2,BC 4110,3.4,,,,,,,,,
TOYOTA 057 (S2),1,BC 4002,4.4,,,,,,,,,
TOYOTA 057 (S2),1,BC 4019,91.3,,,,,,,,,
TOYOTA 057 (S2),1,BC 4060,1.7,,,,,,,,,
TOYOTA 057 (S2),1,BC 4025,1.4,,,,,,,,,
TOYOTA 057 (S2),1,BC 4980,1.2,,,,,,,,,
TOYOTA 057 (S2),2,BC 4002,7.3,,,,,,,,,
TOYOTA 057 (S2),2,BC 4010,55,,,,,,,,,
TOYOTA 057 (S2),2,BC 4526,14.6,,,,,,,,,
TOYOTA 057 (S2),2,BC 4111,2.1,,,,,,,,,
TOYOTA 057 (S2),2,BC 4110,21,,,,,,,,,
TOYOTA 041 (S1),1,BC 4002,4.4,,,,,,,,,
TOYOTA 041 (S1),1,BC 4019,87.8,,,,,,,,,
TOYOTA 041 (S1),1,BC 4920,5.2,,,,,,,,,
TOYOTA 041 (S1),1,BC 4560,1.3,,,,,,,,,
TOYOTA 041 (S1),1,BC 4940,1.3,,,,,,,,,
TOYOTA 041 (S2),1,BC 4002,3.6,,,,,,,,,
TOYOTA 041 (S2),1,BC 4019,90.8,,,,,,,,,
TOYOTA 041 (S2),1,BC 4560,2.4,,,,,,,,,
TOYOTA 041 (S2),1,BC 4025,1.6,,,,,,,,,
TOYOTA 041 (S2),1,BC 4941,1.6,,,,,,,,,
TOYOTA 051 (S1),1,BC 4002,4,,,,,,,,,
TOYOTA 051 (S1),1,BC 4019,78.1,,,,,,,,,
TOYOTA 051 (S1),1,BC 4960,12.2,,,,,,,,,
TOYOTA 051 (S1),1,BC 4920,4.8,,,,,,,,,
TOYOTA 051 (S1),1,BC 4980,0.7,,,,,,,,,
TOYOTA 051 (S1),1,BC 4561,0.2,,,,,,,,,
TOYOTA 051 (S1),2,BC 4002,5.1,,,,,,,,,
TOYOTA 051 (S1),2,BC 4111,65.8,,,,,,,,,
TOYOTA 051 (S1),2,BC 4010,25.6,,,,,,,,,
TOYOTA 051 (S1),2,BC 4019,3.5,,,,,,,,,
TOYOTA 051 (S2),1,BC 4002,4.5,,,,,,,,,
TOYOTA 051 (S2),1,BC 4019,80.1,,,,,,,,,
TOYOTA 051 (S2),1,BC 4920,11.9,,,,,,,,,
TOYOTA 051 (S2),1,BC 4560,2.2,,,,,,,,,
TOYOTA 051 (S2),1,BC 4980,1.3,,,,,,,,,
TOYOTA 051 (S2),2,BC 4002,7.8,,,,,,,,,
TOYOTA 051 (S2),2,BC 4010,62.8,,,,,,,,,
TOYOTA 051 (S2),2,BC 4111,18.6,,,,,,,,,
TOYOTA 051 (S2),2,BC 4110,10.8,,,,,,,,,
TOYOTA 082 (S1),1,BC 4002,4,,,,,,,,,
TOYOTA 082 (S1),1,BC 4019,93.1,,,,,,,,,
TOYOTA 082 (S1),1,BC 4025,1.8,,,,,,,,,
TOYOTA 082 (S1),1,BC 4560,1.1,,,,,,,,,
TOYOTA 082 (S1),2,BC 4002,9.2,,,,,,,,,
TOYOTA 082 (S1),2,BC 4010,82.9,,,,,,,,,
TOYOTA 082 (S1),2,BC 4954,2.5,,,,,,,,,
TOYOTA 082 (S1),2,XB 4705,2.5,,,,,,,,,
TOYOTA 082 (S1),2,BC 4110,2.9,,,,,,,,,
TOYOTA 5B9 (S1),1,BC 4002,3.9,,,,,,,,,
TOYOTA 5B9 (S1),1,BC 4019,63.1,,,,,,,,,
TOYOTA 5B9 (S1),1,BC 4561,31.3,,,,,,,,,
TOYOTA 5B9 (S1),1,BC 4063,0.9,,,,,,,,,
TOYOTA 5B9 (S1),1,BC 4580,0.6,,,,,,,,,
TOYOTA 5B9 (S1),1,BC 4050,0.2,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4002,6.3,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4202,43.6,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4010,10.6,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4811,9.6,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4934,9,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4640,5.1,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4985,3.9,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4025,3.2,,,,,,,,,
TOYOTA 9AL (S1),1,XB 4581,2.6,,,,,,,,,
TOYOTA 9AL (S1),1,BC 4110,6.1,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4002,4.9,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4283,30,,,,,,,,,
TOYOTA 3T6 (S1),1,XB 4581,16.8,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4987,12.1,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4084,11.1,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4010,9.9,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4582,6.4,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4920,4.1,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4974,0.9,,,,,,,,,
TOYOTA 3T6 (S1),1,BC 4110,3.8,,,,,,,,,
TOYOTA 078 (S1),1,BC 4002,3.5,,,,,,,,,
TOYOTA 078 (S1),1,BC 4019,80.4,,,,,,,,,
TOYOTA 078 (S1),1,BC 4920,7.7,,,,,,,,,
TOYOTA 078 (S1),1,BC 4980,4.8,,,,,,,,,
TOYOTA 078 (S1),1,BC 4960,1.8,,,,,,,,,
TOYOTA 078 (S1),1,BC 4560,1.3,,,,,,,,,
TOYOTA 078 (S1),1,BC 4640,0.3,,,,,,,,,
TOYOTA 078 (S1),1,BC 4030,0.2,,,,,,,,,
TOYOTA 078 (S1),2,BC 4002,6.9,,,,,,,,,
TOYOTA 078 (S1),2,BC 4010,51.2,,,,,,,,,
TOYOTA 078 (S1),2,BC 4111,6.9,,,,,,,,,
TOYOTA 078 (S1),2,XB 4091,4.8,,,,,,,,,
TOYOTA 078 (S1),2,BC 4985,3.4,,,,,,,,,
TOYOTA 078 (S1),2,XB 4704,1.4,,,,,,,,,
TOYOTA 078 (S1),2,BC 4110,25.4,,,,,,,,,
TOYOTA 049 (S1),1,BC 4002,3.8,,,,,,,,,
TOYOTA 049 (S1),1,BC 4019,77.5,,,,,,,,,
TOYOTA 049 (S1),1,BC 4980,8.4,,,,,,,,,
TOYOTA 049 (S1),1,BC 4060,5.7,,,,,,,,,
TOYOTA 049 (S1),1,BC 4025,4.6,,,,,,,,,
TOYOTA 049 (S1),2,BC 4002,7.8,,,,,,,,,
TOYOTA 049 (S1),2,BC 4010,56.4,,,,,,,,,
TOYOTA 049 (S1),2,BC 4111,25.1,,,,,,,,,
TOYOTA 049 (S1),2,XB 4091,3.7,,,,,,,,,
