SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Edition,Bucket,Database,Tag_Coarseness,
TOYOTA 3J6 (S1)-LS,TOYOTA,3J6,SUPER RED 3,1990-2010,2,CAMPAIGN MEASUREMENT,NA,
MAZDA UB (S1)-LS,MAZDA,UB,OXFORD WHITE,1990-2009,2,CAMPAIGN MEASUREMENT,NA,
MAZDA UF (S1)-LS,MAZDA,UF,CLEAR WHITE,1990-1997,2,CAMPAIGN MEASUREMENT,NA,
MAZDA UF (S2)-LS,MAZDA,UF,CLEAR WHITE,1990-1997,2,CAMPAIGN MEASUREMENT,NA,
MAZDA UK (S1)-LS,MAZDA,UK,PERFORMANCE WHITE,1992-1998,2,CAMPAIGN MEASUREMENT,NA,
MAZDA WT (S1)-LS,MAZDA,WT,FORMULA WHITE,1980-1989,2,CAMPAIGN MEASUREMENT,NA,
MAZDA WT (S2)-LS,MAZDA,WT,FORMULA WHITE,1980-1989,2,CAMPAIGN MEASUREMENT,NA,
MAZDA WU (S1)-LS,MAZDA,WU,DOVER WHITE,1983-1998,2,CAMPAIGN MEASUREMENT,NA,
MAZDA WU (S2)-LS,MAZDA,WU,DOVER WHITE,1983-1998,2,CAMPAIGN MEASUREMENT,NA,
MAZDA WW (S1)-LS,MAZDA,WW,COTTON WHITE,1991-1993,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 058 (S2)-LS,TOYOTA,058,WHITE,1997-2019,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA W09 (S2)-LS,TOYOTA,W09,WHITE,1998-2019,2,CAMPAIGN MEASUREMENT,NA,
KIA UD (S2)-LS,KIA,UD,CLEAR WHITE,1997-2020,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 068 (S1)-LS,TOYOTA,068,WHITE,2000-2020,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 5A6 (S1)-LS,TOYOTA,5A6,YELLOW,2008-2014,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA W09 (S1)-LS,TOYOTA,W09,WHITE,1998-2019,2,CAMPAIGN MEASUREMENT,NA,
RAL 7040 (S1)-LS,RAL,7040,FENSTERGRAU,,2,CAMPAIGN MEASUREMENT,NA,
RAL 5002 (S1)-LS,RAL,5002,ULTRAMARINBLAU,,2,CAMPAIGN MEASUREMENT,NA,
RAL 1032 (S1)-LS,RAL,1032,GINSTERGELB,,2,CAMPAIGN MEASUREMENT,NA,
RAL 2000 (S1)-LS,RAL,2000,GELBORANGE,,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 3E5 (S1)-LS,TOYOTA,3E5,SUPER RED 2,1985-2016,2,CAMPAIGN MEASUREMENT,NA,
AUDI LXK0 (S1)-LS,AUDI,LXK0,CALLA LILY WHITE,2009-2014,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI SW (S1)-LS,HYUNDAI,SW,SPECIAL WHITE,1987-1991,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI 9Z (S1)-LS,HYUNDAI,9Z,ARCTIC WHITE,2006-2008,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 068 (S2)-LS,TOYOTA,068,WHITE,2000-2020,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 3E5 (S2)-LS,TOYOTA,3E5,SUPER RED 2,1985-2016,2,CAMPAIGN MEASUREMENT,NA,
KIA UD (S1)-LS,KIA,UD,CLEAR WHITE,1997-2020,2,CAMPAIGN MEASUREMENT,NA,
DAEWOO SW0 (S1)-LS,DAEWOO,SW0,SUPERIOR WHITE,1994-1995,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI IA (S1)-LS,HYUNDAI,IA,VIVID YELLOW,1990-2007,2,CAMPAIGN MEASUREMENT,NA,
MAZDA WW (S2)-LS,MAZDA,WW,COTTON WHITE,1991-1993,2,CAMPAIGN MEASUREMENT,NA,
TOYOTA 3J6 (S2)-LS,TOYOTA,3J6,SUPER RED 3,1990-2010,2,CAMPAIGN MEASUREMENT,NA,
NISSAN 002- (S1)-LS,NISSAN,002,WHITE,1981-2002,2,CAMPAIGN MEASUREMENT,NA,
NISSAN D31- (S1)-LS,NISSAN,D31,CASABLANCA WHITE,2002-2002,2,CAMPAIGN MEASUREMENT,NA,
NISSAN 326 (S1)-LS,NISSAN,326,SUPER WHITE,1985-2019,2,CAMPAIGN MEASUREMENT,NA,
AUDI LE9D (S1)-LS,AUDI,LE9D,BRANCO GLACIAL,2004-2010,2,AMAZONA,NA,
RAL 1000 (S1)-LS,RAL,1000,GRUENBEIGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1001 (S1)-LS,RAL,1001,BEIGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1002 (S1)-LS,RAL,1002,SANDGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1003 (S1)-LS,RAL,1003,SIGNALGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1004 (S1)-LS,RAL,1004,GOLDGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1005 (S1)-LS,RAL,1005,HONIGGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1006 (S1)-LS,RAL,1006,MAISGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1007 (S1)-LS,RAL,1007,NARZISSENGELB,,1,CAMPAIGN MEASUREMENT,NA,
