SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness
ALFA ROMEO 486B (S1),ALFA ROMEO,486B,BLU ANODIZZATO PEARL,Coarse
ALFA ROMEO 529A (S1),ALFA ROMEO,529A,GRIGIO MAGNESIO MET OPACO,Medium
FIAT 567A (S1),FIAT,567A,BLU MEDITERRANEO PEARL,Fine
ALFA ROMEO 607B (S1),ALFA ROMEO,607B,GRIGIO ANTRACITE MET,Extra Coarse
ALFA ROMEO 620B (S1),ALFA ROMEO,620B,GRIGIO SILVERSTONE MET,Medium
ALFA ROMEO 825A (S1),ALFA ROMEO,825A,BIANCO CARRARA PEARL OPACO,Fine
FIAT 975 (S1),FIAT,975,NERO IN SPLENDIDA FORMA MET,Coarse
FIAT 979 (S1),FIAT,979,BLU VERTIGINE MET,Coarse
FIAT JBA (S1),FIAT,JBA,WINTER CHILL PEARL,Medium
FIAT JRM (S1),FIAT,JRM,REDLINE PEARL,Medium
FIAT KXJ (S1),FIAT,KXJ,DIAMOND BLACK CRYSTAL PEARL,Medium
ALFA ROMEO PBS (S1),ALFA ROMEO,PBS,DEEP BLUE METALLIC,Medium
ALFA ROMEO PD3 (S1),ALFA ROMEO,PD3,REGRAY MET,Medium
ALFA ROMEO PDX (S1),ALFA ROMEO,PDX,DARK SILVER MET,Medium
ALFA ROMEO PG1 (S1),ALFA ROMEO,PG1,VESUVIO GREY METALLIC,Medium
ALFA ROMEO PR9 (S1),ALFA ROMEO,PR9,BORDEAUX METALLIC,Medium
FIAT PBV (S1),FIAT,PBV,BLU MEDITERRANEO MET,Medium
ALFA ROMEO PUH (S1),ALFA ROMEO,PUH,MARRONE BASALTO MET,Medium
ALFA ROMEO PWP (S1),ALFA ROMEO,PWP,TROFEO WHITE TRI-COAT,Medium
ALFA ROMEO PXL (S1),ALFA ROMEO,PXL,MAGNET BLACK PEARL,Extra Coarse
FIAT PPS (S1),FIAT,PPS,FATHOM BLUE PEARL,Coarse
FIAT PRQ (S1),FIAT,PRQ,BORDEAUX MET,Coarse
FIAT KWT (S1),FIAT,KWT,DIAMOND WHITE TRI-COAT,Medium
FIAT PBU (S1),FIAT,PBU,TRUE BLUE MET,Fine
FIAT LF3 (S1),FIAT,LF3,ELECTRIC ORANGE PEARL,Medium
FIAT PXR (S2),FIAT,PXR,NERO TENORE MET,Extra Coarse
LANCIA 615A (S1),LANCIA,615A,GRIGIO FONTANA MET,Coarse
FIAT 660B (S1),FIAT,660B,DARK ANTRACITE MET OPACO,Medium
FIAT 600 (S1),FIAT,600,GRIGIO BOTTICELLI MET,Coarse
FIAT 599A (S1),FIAT,599A,BLU MAGNETICO MET,Medium
FIAT 597 (S1),FIAT,597,BLU TESEO MET,Extra Coarse
FIAT 657A (S1),FIAT,657A,GRIGIO MITE MET,Coarse
FIAT 651A (S1),FIAT,651A,GRIGIO STROMBOLI MET,Extra Coarse
FIAT 595A (S1),FIAT,595A,GRIGIO POMPEI MET,Medium
ALFA ROMEO 650A (S1),ALFA ROMEO,650A,GRIGIO AFRICA MET,Medium
FIAT 590A (S1),FIAT,590A,BORDEAUX MONTALCINO MET,Medium
FIAT 589A (S1),FIAT,589A,GRIGIO ARGENTO VIVO MET,Medium
FIAT 647 (S1),FIAT,647,GRIGIO STEEL MET,Medium
ALFA ROMEO 568A (S1),ALFA ROMEO,568A,GRIGIO TITANIO MET,Coarse
ALFA ROMEO 586A (S1),ALFA ROMEO,586A,BLU MISANO MET,Medium
ALFA ROMEO 585A (S1),ALFA ROMEO,585A,GRIGIO TOURING MET,Medium
ALFA ROMEO 583A (S1),ALFA ROMEO,583A,ROSSO RUBINO PERL,Medium
FIAT 582A (S1),FIAT,582A,YELLOW LACERTA MET,Medium
ALFA ROMEO 581A (S1),ALFA ROMEO,581A,MARRONE LUCI DI BOSCO MET,Coarse
FIAT 576A (S1),FIAT,576A,VERDE LAGUNA MET,Medium
FIAT 577A (S1),FIAT,577A,VERDE SAVAGE MET,Medium
FIAT 571 (S1),FIAT,571,ARANCIO CALIPSO MET,Fine
FIAT 528B (S1),FIAT,528B,VIOLA DOLCE MICA,Medium
LANCIA 532B (S1),LANCIA,532B,EBANO MICA,Coarse
ALFA ROMEO PR9 (S1),ALFA ROMEO,PR9,BORDEAUX METALLIC,Medium
ALFA ROMEO 743 (S1),ALFA ROMEO,743,BLU INCA MET,Extra Coarse
ALFA ROMEO 612A (S1),ALFA ROMEO,612A,GRIGIO TECHNO MET,Medium
LANCIA 833A (S1),LANCIA,833A,GRIGIO TUDOR MET,Fine
FIAT 823 (S1),FIAT,823,GRIGIO SASSI MET,Fine
FIAT 820 (S1),FIAT,820,BLACK INK MICA,Extra Coarse
FIAT 781 (S1),FIAT,781,VERDE PERUGINO MET,Medium
FIAT 754 (S1),FIAT,754,BLU ELISIIR MICA,Medium
FIAT 307B (S1),FIAT,307B,VERDE ISOLA MET,Coarse
FIAT 348B (S1),FIAT,348B,GRIGIO ARGENTO MET,Medium
LANCIA 349B (S1),LANCIA,349B,CIPRIA GENTILESCHI MET,Medium
FIAT 352A (S1),FIAT,352A,INTENSIVE GREEN MICA,Coarse
FIAT 369B (S1),FIAT,369B,BLU PODIO PEARL,Medium
FIAT 370A (S1),FIAT,370A,VERDE GIRAMONDO MET,Coarse
FIAT 372A (S1),FIAT,372A,GRIGIO COLOSSEO MET,Coarse
ALFA ROMEO 373A (S1),ALFA ROMEO,373A,VERDE ARGO MET,Coarse
FIAT 384A (S1),FIAT,384A,VERDE PLUTONE MET,Extra Coarse
FIAT 389A (S1),FIAT,389A,VERDE TASMANIA MET,Medium
FIAT 390A (S1),FIAT,390A,VERDE SIERRA MET,Medium
FIAT 391A (S1),FIAT,391A,VERDE REFLEX MET,Medium
FIAT 457B (S1),FIAT,457B,AZZURRO VIRTUOSO MET,Medium
FIAT 460A (S1),FIAT,460A,BLU SCURO MET,Extra Coarse
ALFA ROMEO 472B (S1),ALFA ROMEO,472B,BLU LAMPEDUSA MET,Coarse
ALFA ROMEO 473A (S1),ALFA ROMEO,473A,BLU ATOLLO MICA MET,Coarse
FIAT 483A (S1),FIAT,483A,BLU HERALDIC MET,Coarse
FIAT 484B (S1),FIAT,484B,AZZURRO MET,Medium
FIAT 488A (S1),FIAT,488A,BLU LEADER MET,Medium
FIAT 494B (S1),FIAT,494B,AZZURRO ITALIA MET,Coarse
FIAT 498A (S1),FIAT,498A,BLU LIDO MET,Coarse
FIAT 609B (S1),FIAT,609B,GRIGIO MODA MET,Extra Coarse
FIAT 617B (S1),FIAT,617B,GRIGIO PRESTIGIOSO MET,Medium
FIAT 619A (S1),FIAT,619A,PRATA BARI MET,Fine
FIAT 620 (S1),FIAT,620,ALLUMINIO MET,Fine
ALFA ROMEO 629B (S1),ALFA ROMEO,629B,GRIGIO MAGNESIO MET,Medium
