SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness,
GM WA9567 (S1)-LS,GM,WA9567,ARCTIC WHITE,NA,
GM WA7476 (S1)-LS,GM,WA7476,BRIGHT YELLOW,NA,
GM WA454B (S1)-LS,GM,WA454B,BRIMSTONE 3,NA,
GM WA453B (S1)-LS,GM,WA453B,BRIMSTONE 2,NA,
GM WA8057 (S1)-LS,GM,WA8057,CAMEL BEIGE,NA,
GM WA9830 (S1)-LS,GM,WA9830,BRIGHT TEAL,NA,
GM WA7391 (S1)-LS,GM,WA7391,ALMOND,NA,
GM WA7122 (S1)-LS,GM,WA7122,BRIARCLIFF TAN,NA,
GM WA8065 (S1)-LS,GM,WA8065,CARMINE,NA,
MERCEDES 459 (S1)-LS,MERCEDES,459,MAROONBRAUN,NA,
GM WA321D (S1)-LS,GM,WA321D,CRIMSON KING,NA,
GM WA421C (S1)-LS,GM,WA421C,CHEEKIE 3,NA,
GM WA413C (S1)-LS,GM,WA413C,CRUSH,NA,
GM WA9524 (S1)-LS,GM,WA9524,CARMINE,NA,
GM WA9961 (S1)-LS,GM,WA9961,COMPETITION BLUE,NA,
GM WA9804 (S1)-LS,GM,WA9804,COMPETITION YELLOW,NA,
GM WA2741 (S1)-LS,GM,WA2741,CAMEO CREAM,NA,
GM WA8973 (S1)-LS,GM,WA8973,COPPER BEIGE,NA,
GM WA8564 (S1)-LS,GM,WA8564,CHAMOIS,NA,
GM WA9611 (S1)-LS,GM,WA9611,CAMEL BEIGE,NA,
GM WA509F (S1)-LS,GM,WA509F,CREAM WHITE,NA,
GM WA3465 (S1)-LS,GM,WA3465,CLASSIC WHITE,NA,
GM WA3309 (S1)-LS,GM,WA3309,FLAME RED,NA,
GM WA9299 (S1)-LS,GM,WA9299,HAPPY RED,NA,
GM WA8265 (S1)-LS,GM,WA8265,DOESKIN TAN,NA,
GM WA9258 (S1)-LS,GM,WA9258,DARK GARNET,NA,
GM WA8066 (S1)-LS,GM,WA8066,DARK CARMINE,NA,
GM WA7156 (S1)-LS,GM,WA7156,DARK GREEN,NA,
GM WA7490 (S1)-LS,GM,WA7490,DARK JUNIPER,NA,
GM WA7498 (S1)-LS,GM,WA7498,FROST BEIGE,NA,
GM WA5299 (S1)-LS,GM,WA5299,GREEN,NA,
GM WA5300 (S1)-LS,GM,WA5300,LIGHT BEIGE,NA,
GM WA9087 (S1)-LS,GM,WA9087,KHAKI,NA,
GM WA8744 (S1)-LS,GM,WA8744,LIGHT DRIFTWOOD,NA,
GM WA9219 (S1)-LS,GM,WA9219,LIGHT BROWN,NA,
GM WA5196 (S1)-LS,GM,WA5196,DARK SANDALWOOD,NA,
GM WA9017 (S1)-LS,GM,WA9017,DOVE GREY,NA,
GM WA9663 (S1)-LS,GM,WA9663,GREEN,NA,
GM WA3231 (S1)-LS,GM,WA3231,GOLDWOOD,NA,
GM WA8557 (S1)-LS,GM,WA8557,CAMEO IVORY,NA,
GM WA8509 (S1)-LS,GM,WA8509,CREAM BEIGE,NA,
GM WA5108 (S1)-LS,GM,WA5108,OMAHA ORANGE,NA,
GM WA159E (S1)-LS,GM,WA159E,MARY KAY,NA,
GM WA9759 (S1)-LS,GM,WA9759,MARY KAY PINK,NA,
