SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Edition,Evaluation,BUCKET,DATABASE,Tag_Coarseness
TOYOTA 064 (S1),TOYOTA,064,WHITE PEARL CRYSTAL SHINE,2000-2014,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 084 (S1),TOYOTA,084,GLACIER PEARL MICA,2012-2020,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 1B2 (S2),TOYOTA,1B2,GREY MICA MET,1997-2001,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1B2 (S3),TOYOTA,1B2,GREY MICA MET,1997-2001,3,2,CAMPAIGN MEASUREMENT,Coarse
CHRYSLER PQD (S1),CHRYSLER,PQD,SURF BLUE PEARLCOAT,2008-2020,3,2,CAMPAIGN MEASUREMENT,Coarse
KIA G7A (S1),KIA,G7A,POP ORANGE PEARL MET,2017-2019,2,2,CAMPAIGN MEASUREMENT,Medium
KIA DYS (S1),KIA,DYS,DIGITAL YELLOW,2015-2017,1,2,CAMPAIGN MEASUREMENT,Fine
MERCEDES 134 (S1),MERCEDES,134,BERGKRISTALL WEISS MET,2012-2019,1,2,CAMPAIGN MEASUREMENT,Fine
MITSUBISHI P17 (S1),MITSUBISHI,P17,MEDIUM RED PEARL,2004-2018,2,2,CAMPAIGN MEASUREMENT,Medium
MITSUBISHI U04 (S1),MITSUBISHI,U04,QUICK SILVER MET,2008-2016,3,2,CAMPAIGN MEASUREMENT,Coarse
CHRYSLER PRV (S1),CHRYSLER,PRV,VELVET RED PEARL,2014-2020,2,2,CAMPAIGN MEASUREMENT,Medium
HONDA NH603P (S1),HONDA,NH603P,WHITE DIAMOND PEARL,1997-2019,1,2,CAMPAIGN MEASUREMENT,Fine
HYUNDAI UU9 (S1),HYUNDAI,UU9,BLUE OCEAN MET,2011-2016,3,2,CAMPAIGN MEASUREMENT,Coarse
HYUNDAI US (S1),HYUNDAI,US,SKY BLUE MET,2006-2008,3,2,CAMPAIGN MEASUREMENT,Coarse
KIA B2Y- (S2),KIA,B2Y,HONEY BEE MET,2011-2016,1,2,CAMPAIGN MEASUREMENT,Fine
MERCEDES 775 (S1),MERCEDES,775,IRIDIUMSILBER MET,2004-2019,2,2,CAMPAIGN MEASUREMENT,Medium
NISSAN RCA (S1),NISSAN,RCA,CASPIAN BLUE PEARL MET,2016-2019,3,2,CAMPAIGN MEASUREMENT,Coarse
